
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
WV,9,SUPER FORM(T232),C Murray,A T Millard,124,---,---,---,---,---,---,20-21-310,Class 3,ST,1600M,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,4,WAIKUKU(C150),J Moreira,J Size,129,1099,5,-,4 4 4 1 ,1:22.31,2.6,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
2,5,BABA MAMA(V214),M F Poon,L Ho,124,1146,6,1-1/4,8 7 6 2 ,1:22.49,23,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
3,3,COMFORT LIFE(B169),G van Niekerk,F C Lor,131,1147,14,2-1/2,2 2 2 3 ,1:22.69,17,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
4,2,ENCOURAGING(B109),D Whyte,J Moore,132,1048,11,3-1/4,7 8 7 4 ,1:22.84,6,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
5,1,KA YING LEGEND(B234),U Rispoli,T P Yung,133,1122,4,3-3/4,1 1 1 5 ,1:22.91,40,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
6,12,LADY FIRST(B013),K C Leung,K H Ting,118,1009,2,3-3/4,5 6 8 6 ,1:22.91,5.4,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
7,11,HAPPY SEBRING(B189),K Teetan,A S Cruz,120,1169,3,5,11 9 10 7 ,1:23.13,17,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
8,9,DIAMOND RHYME(B183),Z Purton,K W Lui,122,1040,1,5,3 3 3 8 ,1:23.13,3.6,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
9,7,DEFINING MOMENT(C159),C Schofield,C Fownes,124,1141,7,6,10 10 9 9 ,1:23.26,216,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
10,6,AMAZING CHOCOLATE(C059),A Badel,R Gibson,125,1194,10,6,14 14 11 10 ,1:23.29,220,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
11,14,SALTO OLIMPICO(A350),H N Wong,D J Hall,112,1132,12,9,12 13 14 11 ,1:23.74,402,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
12,10,INCREDIBLE(B477),C Y Ho,K L Man,120,1177,13,9-3/4,6 5 5 12 ,1:23.86,332,20-21-311,Class 3,ST,1400M,GOOD,"TURF - ""C"" Course"
